ID,Education,Marital_Status,age,Income,Childern_count,NumWebVisitsMonth,Complain,RFM_Score,Customer_segment,Campaign_1_Status,Campaign_2_Status,Campaign_3_Status,Campaign_4_Status,Campaign_5_Status,Response
8373,Others,Married,35,24594.0,1,5,0,0.44,Lost Customers,0,0,0,0,0,0
7533,Graduation,Married,50,49096.0,2,7,0,2.51,Low Value Customers,0,0,0,0,0,0
2683,Graduation,Married,45,52413.0,2,6,0,4.24,High value Customer,0,0,0,0,0,0
3629,Graduation,Single,36,38557.0,1,7,0,1.95,Low Value Customers,0,0,0,0,0,0
10991,Master,Married,54,89058.0,0,2,0,2.59,Low Value Customers,0,0,0,0,0,0
5077,Graduation,Married,35,77298.0,1,3,0,4.08,High value Customer,0,0,0,0,0,0
7431,PhD,Single,23,68126.0,0,9,0,2.92,Low Value Customers,0,0,0,1,0,1
3267,Master,Married,51,57288.0,1,6,0,3.55,Medium Value Customer,0,0,0,1,0,0
999,Graduation,Single,23,86037.0,0,3,0,3.83,Medium Value Customer,0,0,0,1,1,1
9215,PhD,Married,34,43974.0,1,7,0,3.8,Medium Value Customer,0,0,0,0,0,0
2286,Graduation,Single,52,50785.0,2,6,0,1.69,Low Value Customers,0,0,0,0,0,0
1592,Graduation,Married,44,90765.0,0,1,0,2.66,Low Value Customers,1,0,0,0,1,0
367,Others,Married,36,36550.0,1,9,0,3.2,Medium Value Customer,0,0,0,0,0,0
5234,Others,Married,47,30753.0,2,5,0,1.02,Lost Customers,0,0,0,0,0,0
9862,Graduation,Married,45,21918.0,1,6,0,1.38,Lost Customers,0,0,0,0,0,0
9805,Master,Married,61,56129.0,1,4,0,3.63,Medium Value Customer,0,0,0,0,0,0
6205,Master,Single,47,32557.0,1,5,0,1.98,Low Value Customers,0,0,0,0,0,1
8442,Master,Married,29,19510.0,2,7,0,0.93,Lost Customers,0,0,0,0,0,0
7386,Graduation,Divorced,38,30992.0,1,7,0,0.52,Lost Customers,0,0,0,0,0,0
7215,Graduation,Single,31,101970.0,0,2,0,4.25,High value Customer,1,0,0,1,1,1
1491,Others,Married,49,71488.0,0,1,0,2.35,Low Value Customers,0,0,0,0,0,0
11071,Graduation,Single,30,79607.0,0,1,0,2.73,Low Value Customers,0,0,0,0,0,1
3381,Master,Married,61,54348.0,2,6,0,1.51,Lost Customers,0,0,0,0,0,0
8268,PhD,Married,53,,1,6,0,3.05,Medium Value Customer,0,0,0,0,0,0
11051,PhD,Married,58,77376.0,2,4,0,3.75,Medium Value Customer,0,0,0,0,0,0
8026,Graduation,Married,62,62998.0,1,5,0,3.5,Medium Value Customer,0,0,0,0,0,0
433,Master,Single,56,61331.0,2,8,0,3.97,Medium Value Customer,0,0,0,0,0,0
9597,Graduation,Married,45,73448.0,0,4,0,3.5,Medium Value Customer,0,0,0,0,0,0
1295,Graduation,Married,51,,1,4,0,2.85,Low Value Customers,0,0,0,0,0,0
5290,PhD,Married,50,41551.0,2,8,0,2.63,Low Value Customers,0,0,0,0,0,0
1685,PhD,Married,47,62981.0,0,3,0,4.13,High value Customer,0,0,0,1,0,0
5342,Others,Divorced,38,9548.0,1,8,0,1.16,Lost Customers,0,0,0,0,0,0
9579,PhD,Married,55,33762.0,3,8,0,1.62,Low Value Customers,0,0,0,0,0,0
7660,PhD,Single,41,35860.0,2,5,0,1.12,Lost Customers,0,0,1,0,0,1
1461,PhD,Divorced,49,36921.0,2,7,0,1.1,Lost Customers,0,0,0,0,0,0
821,Master,Single,22,92859.0,0,2,0,3.78,Medium Value Customer,0,0,0,0,0,0
11084,Master,Married,38,65104.0,1,7,0,3.18,Medium Value Customer,0,0,0,0,0,1
8690,Graduation,Married,52,86111.0,0,2,0,3.74,Medium Value Customer,0,0,0,0,0,0
2937,PhD,Single,40,68352.0,1,6,0,4.19,High value Customer,0,0,0,0,0,0
9701,Graduation,Married,26,41883.0,1,7,0,2.42,Low Value Customers,0,0,0,0,0,0
9949,Graduation,Married,38,59809.0,2,8,0,2.57,Low Value Customers,0,0,0,0,0,0
10837,Graduation,Married,39,23957.0,1,6,0,1.06,Lost Customers,0,0,0,0,0,1
3120,Graduation,Married,33,38547.0,1,8,1,0.53,Lost Customers,0,0,0,0,0,0
5885,Others,Married,41,35688.0,3,8,0,2.3,Low Value Customers,0,0,0,0,0,0
4050,Master,Married,48,49605.0,0,3,0,1.4,Lost Customers,0,0,0,0,0,0
3830,Master,Married,61,59354.0,2,3,0,2.56,Low Value Customers,0,0,0,0,0,0
7987,Graduation,Married,45,65747.0,1,6,0,2.85,Low Value Customers,0,0,0,1,0,0
7798,Others,Married,42,46344.0,1,7,0,3.0,Low Value Customers,0,0,0,0,0,0
92,Graduation,Single,26,34176.0,1,6,0,2.3,Low Value Customers,0,0,0,0,0,0
7055,PhD,Married,62,61010.0,1,5,0,4.23,High value Customer,0,0,0,0,0,0
10240,Graduation,Married,65,69372.0,0,4,0,3.86,Medium Value Customer,0,0,0,1,1,1
3025,Graduation,Single,56,49967.0,1,7,0,2.81,Low Value Customers,0,0,0,0,0,0
9283,Graduation,Single,36,60199.0,3,4,0,0.53,Lost Customers,0,0,0,0,0,0
9970,Graduation,Married,37,55375.0,1,2,0,2.05,Low Value Customers,0,0,0,0,0,0
2730,Graduation,Single,59,80317.0,0,1,0,2.92,Low Value Customers,0,0,0,0,0,0
2795,Master,Single,56,30523.0,3,7,0,0.89,Lost Customers,0,0,0,0,0,0
9260,PhD,Married,69,70356.0,0,6,0,4.62,Top Customers,0,0,0,0,0,0
8182,Graduation,Married,30,23228.0,1,8,0,1.71,Low Value Customers,0,0,0,0,0,0
10095,PhD,Divorced,39,74165.0,0,2,0,3.69,Medium Value Customer,0,0,0,0,0,0
8475,PhD,Married,41,157243.0,1,0,0,4.25,High value Customer,0,0,0,0,0,0
4370,Graduation,Married,48,43482.0,3,6,0,1.45,Lost Customers,0,0,0,0,0,0
10573,Graduation,Divorced,61,62551.0,0,3,0,3.2,Medium Value Customer,0,0,1,0,0,0
3712,Graduation,Divorced,55,52332.0,0,4,0,2.05,Low Value Customers,0,0,0,1,0,0
6637,Graduation,Single,26,66951.0,0,1,0,2.51,Low Value Customers,0,0,0,0,0,0
3152,Graduation,Married,57,26091.0,2,5,0,1.44,Lost Customers,0,0,0,0,0,0
5610,Graduation,Married,49,33456.0,2,7,0,0.96,Lost Customers,0,0,0,0,0,0
6460,Graduation,Married,32,28718.0,1,8,0,1.08,Lost Customers,0,0,0,0,0,0
1349,Graduation,Married,44,50447.0,2,6,0,1.86,Low Value Customers,0,0,0,0,0,0
1880,PhD,Married,55,53537.0,2,5,0,1.76,Low Value Customers,0,0,0,0,0,0
641,Graduation,Single,47,52074.0,1,4,0,1.08,Lost Customers,0,0,1,0,0,0
8717,PhD,Married,39,80427.0,1,5,0,4.42,High value Customer,0,0,0,0,0,0
10314,PhD,Married,66,83837.0,0,4,0,3.95,Medium Value Customer,1,0,0,1,0,1
10854,PhD,Married,44,38853.0,2,7,0,0.98,Lost Customers,0,0,0,0,0,0
10492,Graduation,Married,55,38285.0,3,2,0,0.17,Lost Customers,0,0,0,0,0,0
6935,Others,Married,63,78497.0,0,2,0,4.21,High value Customer,1,0,0,0,0,0
7698,PhD,Married,38,51650.0,1,5,0,1.64,Low Value Customers,0,0,0,0,0,0
3559,Others,Married,26,16248.0,1,6,0,1.5,Lost Customers,0,0,0,0,0,0
10562,Master,Married,68,66835.0,0,2,0,4.27,High value Customer,0,0,0,0,0,0
10796,Master,Married,30,30477.0,1,6,0,1.28,Lost Customers,0,0,0,0,0,0
2563,Others,Married,53,28249.0,0,6,0,0.8,Lost Customers,0,0,0,0,0,0
3518,Graduation,Married,31,25271.0,1,9,0,0.82,Lost Customers,0,0,0,0,0,0
5823,PhD,Single,44,32303.0,1,5,0,1.19,Lost Customers,0,0,0,0,0,0
3934,Graduation,Married,48,61286.0,1,5,0,3.14,Medium Value Customer,0,0,0,0,0,0
6982,Graduation,Married,38,74068.0,0,2,0,4.31,High value Customer,0,0,0,0,0,0
6431,PhD,Married,50,45759.0,2,7,0,1.56,Lost Customers,0,0,0,0,0,0
9733,Others,Married,36,24882.0,1,6,0,0.76,Lost Customers,0,0,1,0,0,0
5602,PhD,Married,25,66973.0,0,3,0,4.1,High value Customer,0,0,0,0,0,0
7829,Others,Divorced,114,36640.0,1,5,1,0.66,Lost Customers,0,0,0,0,0,0
1324,Graduation,Married,26,38872.0,1,8,0,1.19,Lost Customers,0,0,0,0,0,0
326,Graduation,Married,41,51148.0,2,6,0,2.72,Low Value Customers,0,0,0,0,0,0
7224,Graduation,Married,37,31353.0,2,8,0,1.23,Lost Customers,0,0,0,0,0,0
6999,Master,Married,34,69661.0,0,3,0,3.69,Medium Value Customer,0,0,0,0,0,0
9938,Graduation,Married,60,80067.0,0,2,0,2.6,Low Value Customers,0,0,0,0,1,0
6422,Graduation,Married,60,86718.0,0,2,0,3.07,Medium Value Customer,0,0,0,0,0,0
3182,PhD,Single,41,46854.0,2,8,0,2.23,Low Value Customers,0,0,1,0,0,1
7300,Graduation,Divorced,62,69142.0,1,5,0,3.2,Medium Value Customer,0,0,0,1,0,0
10424,Graduation,Single,46,75922.0,0,1,0,2.95,Low Value Customers,0,0,0,0,0,0
8727,Graduation,Divorced,36,63693.0,1,6,0,4.42,High value Customer,0,0,0,0,0,0
2798,PhD,Married,37,102160.0,0,4,0,4.26,High value Customer,1,0,0,1,1,1
1030,PhD,Single,49,40637.0,2,7,0,0.86,Lost Customers,0,0,0,0,0,0
624,Master,Single,30,18890.0,0,6,0,0.85,Lost Customers,0,0,1,0,0,1
5176,Graduation,Married,26,29604.0,1,9,0,0.49,Lost Customers,0,0,1,0,0,0
5552,Master,Divorced,51,48721.0,2,6,0,2.84,Low Value Customers,0,0,0,0,0,0
868,Graduation,Married,48,44794.0,1,6,0,0.66,Lost Customers,0,0,0,0,0,0
380,Graduation,Divorced,60,64497.0,1,8,0,4.76,Top Customers,0,0,1,0,0,1
2677,Graduation,Married,58,46097.0,1,4,0,2.76,Low Value Customers,0,0,0,0,0,0
6521,Graduation,Married,60,77972.0,0,1,0,3.62,Medium Value Customer,0,0,0,0,0,0
6927,PhD,Married,46,44377.0,2,8,0,3.05,Medium Value Customer,0,0,0,0,0,0
2877,Master,Married,40,46014.0,2,7,0,4.51,Top Customers,0,0,0,0,0,0
0,Graduation,Married,29,70951.0,0,1,0,2.72,Low Value Customers,0,0,0,0,0,0
1584,Graduation,Married,37,41443.0,1,8,0,3.16,Medium Value Customer,0,0,0,0,0,0
7264,Others,Single,36,52195.0,3,8,0,0.88,Lost Customers,0,0,0,0,0,0
6274,Master,Married,66,83790.0,0,3,0,3.93,Medium Value Customer,0,0,0,1,1,0
1377,Master,Widow,60,44551.0,1,7,0,2.34,Low Value Customers,0,0,0,0,0,0
454,Graduation,Married,34,69508.0,1,6,0,4.48,High value Customer,0,0,0,0,0,0
1755,Others,Married,26,45204.0,1,3,0,0.96,Lost Customers,0,0,0,0,0,0
2075,Graduation,Married,45,72460.0,0,1,0,2.59,Low Value Customers,0,0,0,0,0,0
4785,PhD,Married,44,77622.0,2,3,0,4.09,High value Customer,0,0,0,0,0,0
9076,PhD,Married,34,30732.0,1,8,0,2.3,Low Value Customers,0,0,0,0,0,0
7079,Graduation,Divorced,52,63887.0,1,6,0,4.68,Top Customers,0,0,0,0,0,0
4653,Graduation,Married,36,42011.0,1,8,0,2.18,Low Value Customers,0,0,0,0,0,0
7375,Graduation,Married,38,51369.0,1,8,0,2.38,Low Value Customers,0,0,0,0,0,0
709,Graduation,Divorced,62,51537.0,1,8,0,3.2,Medium Value Customer,0,0,0,0,0,0
460,PhD,Married,42,79930.0,0,2,0,2.68,Low Value Customers,0,0,0,0,0,0
3726,PhD,Married,28,34320.0,1,8,0,0.39,Lost Customers,0,0,0,0,0,0
6798,Graduation,Single,48,37070.0,2,7,0,4.06,High value Customer,0,0,0,0,0,1
5341,Others,Divorced,52,81975.0,1,7,0,2.71,Low Value Customers,0,0,0,0,1,0
1606,Graduation,Married,43,38590.0,1,8,0,0.4,Lost Customers,0,0,0,0,0,0
9617,Graduation,Single,63,15033.0,0,3,0,0.87,Lost Customers,0,0,0,0,0,0
3233,PhD,Married,49,62745.0,1,5,0,4.22,High value Customer,0,0,0,0,0,0
89,Others,Married,39,22212.0,1,6,0,1.53,Lost Customers,0,0,0,0,0,0
2936,Master,Married,32,23661.0,1,7,0,0.81,Lost Customers,0,0,0,0,0,0
9449,PhD,Single,56,79761.0,1,3,0,3.33,Medium Value Customer,0,0,0,0,0,0
7297,Graduation,Single,41,7500.0,1,7,0,1.98,Low Value Customers,0,0,0,0,0,0
11004,Others,Single,121,60182.0,1,4,0,0.72,Lost Customers,0,0,0,0,0,0
313,Graduation,Widow,46,73455.0,0,3,0,3.38,Medium Value Customer,0,0,0,1,0,0
9940,Graduation,Married,56,64961.0,1,3,0,2.28,Low Value Customers,0,0,0,0,0,0
10735,Graduation,Single,43,22804.0,1,9,0,0.59,Lost Customers,0,0,0,0,0,0
9529,Graduation,Married,24,73687.0,0,2,0,4.06,High value Customer,1,0,0,0,0,1
6439,Graduation,Married,56,61074.0,1,7,0,4.66,Top Customers,0,0,0,0,0,0
7411,PhD,Married,50,31686.0,2,6,0,1.16,Lost Customers,0,0,0,0,0,0
2176,Graduation,Married,42,80134.0,1,6,0,2.71,Low Value Customers,1,0,0,1,1,1
9265,Graduation,Married,61,75027.0,1,5,0,3.38,Medium Value Customer,0,0,0,0,0,0
8867,PhD,Married,26,67546.0,0,3,0,3.08,Medium Value Customer,0,0,0,0,0,0
8932,Master,Married,45,65176.0,1,6,0,4.11,High value Customer,0,0,0,0,0,0
10236,Master,Single,39,31160.0,1,8,0,1.21,Lost Customers,0,0,0,0,0,0
6340,Graduation,Single,29,29938.0,1,6,0,1.01,Lost Customers,0,0,0,0,0,0
10089,Graduation,Divorced,40,102692.0,0,2,0,4.85,Top Customers,1,1,0,1,1,1
2227,Others,Married,56,26490.0,0,6,0,1.7,Low Value Customers,0,0,0,0,0,0
10992,Graduation,Married,47,75702.0,2,8,0,4.09,High value Customer,0,0,0,0,0,0
5304,PhD,Single,40,30899.0,1,6,0,1.14,Lost Customers,0,0,0,0,0,0
309,PhD,Married,53,63342.0,1,6,0,3.22,Medium Value Customer,0,0,0,1,0,0
3406,Graduation,Single,50,45989.0,1,3,0,2.28,Low Value Customers,0,0,0,0,0,0
2661,Graduation,Single,50,18701.0,2,5,0,1.54,Lost Customers,0,0,0,0,0,0
3153,PhD,Single,57,40737.0,3,8,0,0.71,Lost Customers,0,0,0,0,0,0
10264,Graduation,Divorced,35,15287.0,1,7,0,0.95,Lost Customers,0,0,1,0,0,1
1184,PhD,Divorced,46,69674.0,2,5,0,4.2,High value Customer,0,0,0,0,0,0
4200,Master,Married,44,44159.0,1,5,0,2.2,Low Value Customers,0,0,0,0,0,0
9396,PhD,Married,36,37717.0,1,9,0,0.65,Lost Customers,0,0,0,0,0,0
2387,Master,Married,62,43776.0,2,8,0,3.15,Medium Value Customer,0,0,0,0,0,1
6690,Master,Married,48,38179.0,2,7,0,2.16,Low Value Customers,0,0,0,0,0,0
1225,Graduation,Married,51,80124.0,0,1,0,3.23,Medium Value Customer,0,0,1,0,0,0
9703,PhD,Married,44,38097.0,2,7,0,1.87,Low Value Customers,0,0,1,0,0,1
291,Graduation,Married,44,72940.0,0,1,0,2.53,Low Value Customers,0,0,0,0,0,0
4557,Graduation,Married,44,22070.0,1,6,0,1.81,Low Value Customers,0,0,0,0,0,0
2379,Graduation,Single,61,69267.0,0,7,0,2.48,Low Value Customers,0,0,0,0,0,1
5726,Master,Single,31,31788.0,1,5,1,2.14,Low Value Customers,0,0,0,0,0,0
3066,PhD,Married,39,61905.0,1,5,0,2.51,Low Value Customers,0,0,0,0,0,0
6336,Graduation,Married,54,29315.0,2,6,0,1.84,Low Value Customers,0,0,0,0,0,0
10967,Graduation,Divorced,51,33378.0,2,7,0,1.79,Low Value Customers,0,0,0,0,0,0
2304,PhD,Married,51,66313.0,1,4,0,3.64,Medium Value Customer,0,0,0,0,0,0
3445,Graduation,Single,58,60714.0,0,5,0,3.86,Medium Value Customer,0,0,0,0,0,1
7828,Master,Married,33,77882.0,0,1,0,2.3,Low Value Customers,0,0,0,0,0,0
3762,PhD,Single,28,69867.0,0,1,0,2.99,Low Value Customers,1,0,0,0,0,1
4391,Master,Divorced,46,63841.0,1,6,0,3.63,Medium Value Customer,0,0,0,0,0,0
4669,Others,Married,33,24480.0,1,7,0,1.91,Low Value Customers,0,0,0,0,0,0
10144,Graduation,Married,38,51369.0,1,8,0,2.38,Low Value Customers,0,0,0,0,0,0
8652,Graduation,Married,68,37760.0,0,7,0,2.48,Low Value Customers,0,0,0,0,0,0
1672,PhD,Married,40,65640.0,1,2,0,2.29,Low Value Customers,0,0,0,0,0,0
8962,Master,Married,39,44319.0,2,5,0,1.53,Lost Customers,0,0,0,0,0,0
9974,Graduation,Married,40,30631.0,1,7,0,1.1,Lost Customers,0,0,0,0,0,0
10983,Graduation,Married,62,75278.0,0,3,0,4.16,High value Customer,0,0,0,0,0,0
8148,Master,Married,58,50898.0,2,5,0,4.31,High value Customer,0,0,0,0,0,0
10102,Graduation,Widow,48,79946.0,0,3,0,3.97,Medium Value Customer,0,0,0,0,0,0
4697,Master,Divorced,65,35416.0,0,8,0,2.54,Low Value Customers,0,0,0,0,0,0
9262,Others,Married,30,32414.0,0,7,0,1.07,Lost Customers,0,0,1,0,0,0
7254,Graduation,Married,45,38361.0,1,7,0,1.69,Low Value Customers,0,0,0,0,0,0
4543,Graduation,Married,34,82497.0,0,4,0,3.33,Medium Value Customer,0,0,0,0,1,0
4927,Graduation,Married,43,16626.0,2,9,0,1.51,Lost Customers,0,0,0,0,0,0
